modelId,downloads,organization
1-800-BAD-CODE/punctuation_fullstop_truecase_english,578464,1-800-BAD-CODE
AdamCodd/vit-base-nsfw-detector,1284389,AdamCodd
Alibaba-NLP/gte-large-en-v1.5,2863251,Alibaba-NLP
Ashishkr/query_wellformedness_score,620296,Ashishkr
AutonLab/MOMENT-1-large,237966,AutonLab
BAAI/bge-small-en-v1.5,5906373,BAAI
Babelscape/wikineural-multilingual-ner,386152,Babelscape
BridgeTower/bridgetower-large-itm-mlm-itc,840068,BridgeTower
ByteDance/Hyper-SD,174954,ByteDance
CIDAS/clipseg-rd64-refined,7998214,CIDAS
Cloudy1225/stackoverflow-roberta-base-sentiment,1827261,Cloudy1225
CompVis/stable-diffusion-safety-checker,1213280,CompVis
Danswer/intent-model,631321,Danswer
DeepChem/ChemBERTa-77M-MTR,371189,DeepChem
DeepFloyd/t5-v1_1-xxl,354777,DeepFloyd
DeepPavlov/rubert-base-cased,250692,DeepPavlov
Dmyadav2001/Sentimental-Analysis,140027,Dmyadav2001
Efficient-Large-Model/Llama-3-VILA1.5-8B-Fix,174139,Efficient-Large-Model
EleutherAI/gpt-neo-2.7B,274204,EleutherAI
EmergentMethods/gliner_medium_news-v2.1,611726,EmergentMethods
Ericwang/tiny-random-ast,141117,Ericwang
FacebookAI/xlm-roberta-large,72928929,FacebookAI
Falconsai/nsfw_image_detection,4121724,Falconsai
Gustavosta/MagicPrompt-Stable-Diffusion,184170,Gustavosta
Hate-speech-CNERG/tamil-codemixed-abusive-MuRIL,874656,Hate-speech-CNERG
Helsinki-NLP/opus-mt-fr-en,920864,Helsinki-NLP
HooshvareLab/bert-fa-base-uncased-ner-peyma,122993,HooshvareLab
HuggingFaceH4/zephyr-7b-beta,416712,HuggingFaceH4
HuggingFaceM4/siglip-so400m-14-384,5167375,HuggingFaceM4
IDEA-Research/grounding-dino-tiny,1264302,IDEA-Research
InstantX/InstantID,128248,InstantX
Intel/dpt-hybrid-midas,245627,Intel
Isotr0py/test-gguf-sample,732962,Isotr0py
JackFram/llama-68m,695501,JackFram
Jean-Baptiste/camembert-ner-with-dates,433154,Jean-Baptiste
LTP/small,192626,LTP
Lajavaness/bilingual-embedding-large,192628,Lajavaness
LanguageBind/LanguageBind_Video_FT,455873,LanguageBind
Leo97/KoELECTRA-small-v3-modu-ner,402298,Leo97
LiheYoung/depth-anything-large-hf,215270,LiheYoung
Lykon/DreamShaper,487314,Lykon
M-CLIP/XLM-Roberta-Large-Vit-B-32,11061001,M-CLIP
MCG-NJU/videomae-large,499701,MCG-NJU
MIT/ast-finetuned-audioset-10-10-0.4593,3542023,MIT
MMG/xlm-roberta-large-ner-spanish,664745,MMG
MRNH/mbart-english-grammar-corrector,123844,MRNH
MahmoudAshraf/mms-300m-1130-forced-aligner,1191500,MahmoudAshraf
Marqo/marqo-fashionSigLIP,140640,Marqo
MattyB95/AST-VoxCelebSpoof-Synthetic-Voice-Detection,567561,MattyB95
Maykeye/TinyLLama-v0,195377,Maykeye
