model_id,authors,commit_count
1-800-BAD-CODE/punctuation_fullstop_truecase_english,1-800-BAD-CODE,34
AdamCodd/vit-base-nsfw-detector,Adam,1
AdamCodd/vit-base-nsfw-detector,AdamCodd,23
Alibaba-NLP/gte-large-en-v1.5,Xenova,2
Alibaba-NLP/gte-large-en-v1.5,izhx,11
Alibaba-NLP/gte-large-en-v1.5,thenlper,3
Alibaba-NLP/gte-large-en-v1.5,tomaarsen,1
Ashishkr/query_wellformedness_score,Ashishkr,29
Ashishkr/query_wellformedness_score,SFconvertbot,2
Ashishkr/query_wellformedness_score,ashish kumar,1
Ashishkr/query_wellformedness_score,patrickvonplaten,2
Ashishkr/query_wellformedness_score,system,1
AutonLab/MOMENT-1-large,KonradSzafer,9
AutonLab/MOMENT-1-large,MononitoGoswami,8
AutonLab/MOMENT-1-large,SFconvertbot,1
BAAI/bge-small-en-v1.5,AshokRaja,1
BAAI/bge-small-en-v1.5,Shitao,7
BAAI/bge-small-en-v1.5,Tim,1
BAAI/bge-small-en-v1.5,ldwang,7
BAAI/bge-small-en-v1.5,michaelfeil,1
Babelscape/wikineural-multilingual-ner,SFconvertbot,1
Babelscape/wikineural-multilingual-ner,Simone Tedeschi,16
Babelscape/wikineural-multilingual-ner,lbourdois,1
Babelscape/wikineural-multilingual-ner,sted97,11
Babelscape/wikineural-multilingual-ner,system,1
BridgeTower/bridgetower-large-itm-mlm-itc,anahita-b,6
BridgeTower/bridgetower-large-itm-mlm-itc,shaoyent,6
ByteDance/Hyper-SD,Yanzuo,17
ByteDance/Hyper-SD,renyuxi,43
CIDAS/clipseg-rd64-refined,nielsr,8
Cloudy1225/stackoverflow-roberta-base-sentiment,Cloudy1225,5
Cloudy1225/stackoverflow-roberta-base-sentiment,SFconvertbot,1
Cloudy1225/stackoverflow-roberta-base-sentiment,Yunhui Liu,1
CompVis/stable-diffusion-safety-checker,Ezi,1
CompVis/stable-diffusion-safety-checker,valhalla,3
Danswer/intent-model,Danswer,4
Danswer/intent-model,yuhongsun,3
DeepChem/ChemBERTa-77M-MTR,Walid Ahmad,2
DeepChem/ChemBERTa-77M-MTR,system,1
DeepFloyd/t5-v1_1-xxl,Alex Shonenkov,1
DeepFloyd/t5-v1_1-xxl,shonenkov,2
DeepPavlov/rubert-base-cased,Yura Kuratov,1
DeepPavlov/rubert-base-cased,julien-c,1
DeepPavlov/rubert-base-cased,patrickvonplaten,2
DeepPavlov/rubert-base-cased,system,8
DeepPavlov/rubert-base-cased,yurakuratov,1
Dmyadav2001/Sentimental-Analysis,Dmyadav2001,3
Efficient-Large-Model/Llama-3-VILA1.5-8B-Fix,Seerkfang,2
EleutherAI/gpt-neo-2.7B,LysandreJik,3
EleutherAI/gpt-neo-2.7B,SFconvertbot,1
EleutherAI/gpt-neo-2.7B,guillaume-be,2
EleutherAI/gpt-neo-2.7B,lg,1
EleutherAI/gpt-neo-2.7B,lysandre,1
EleutherAI/gpt-neo-2.7B,stellaathena,12
EleutherAI/gpt-neo-2.7B,system,1
EleutherAI/gpt-neo-2.7B,valhalla,3
EmergentMethods/gliner_medium_news-v2.1,rcaulk,11
EmergentMethods/gliner_medium_news-v2.1,robcaulk,1
EmergentMethods/gliner_medium_news-v2.1,thorntwig,7
EmergentMethods/gliner_medium_news-v2.1,tomaarsen,1
Ericwang/tiny-random-ast,Ericwang,4
FacebookAI/xlm-roberta-large,MhondGhod,1
FacebookAI/xlm-roberta-large,Narsil,1
FacebookAI/xlm-roberta-large,fxmarty,1
FacebookAI/xlm-roberta-large,joaogante,1
FacebookAI/xlm-roberta-large,julien-c,1
FacebookAI/xlm-roberta-large,lbourdois,1
FacebookAI/xlm-roberta-large,lysandre,1
FacebookAI/xlm-roberta-large,mushfiqurrobin,1
FacebookAI/xlm-roberta-large,nielsr,1
FacebookAI/xlm-roberta-large,osanseviero,1
FacebookAI/xlm-roberta-large,sgugger,1
FacebookAI/xlm-roberta-large,system,7
FacebookAI/xlm-roberta-large,valhalla,3
Falconsai/nsfw_image_detection,RealFalconsAI,14
